Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,255176.0
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,2440.0
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,291,1000.0
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,14044657.0
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,34945,12631.0
US-Canada Border,12/01/2013 12:00:00 AM,Buses,6302,8399.0
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,15379,12803.0
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,137847.0
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,779,644.0
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,55063,9791.0
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,91227,106850.0
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,3120322.0
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,18896,9474.0
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,134187.0
US-Canada Border,11/01/2013 12:00:00 AM,Trains,2537,2440.0
US-Canada Border,11/01/2013 12:00:00 AM,Personal Vehicles,2548543,2489564.0
US-Canada Border,11/01/2013 12:00:00 AM,Buses,7378,8399.0
US-Canada Border,11/01/2013 12:00:00 AM,Bus Passengers,167570,162064.0
US-Canada Border,11/01/2013 12:00:00 AM,Rail Containers Empty,61616,9791.0
US-Mexico Border,11/01/2013 12:00:00 AM,Truck Containers Empty,130228,106850.0
US-Canada Border,11/01/2013 12:00:00 AM,Truck Containers Full,333243,177702.0
US-Canada Border,11/01/2013 12:00:00 AM,Truck Containers Empty,99321,24091.0
US-Canada Border,11/01/2013 12:00:00 AM,Personal Vehicle Passengers,4651280,6136398.0
US-Canada Border,11/01/2013 12:00:00 AM,Train Passengers,12060,12803.0
US-Canada Border,11/01/2013 12:00:00 AM,Rail Containers Full,135455,31860.0
US-Mexico Border,11/01/2013 12:00:00 AM,Pedestrians,3602599,3120322.0
US-Canada Border,11/01/2013 12:00:00 AM,Trucks,462484,419175.0
US-Canada Border,11/01/2013 12:00:00 AM,Pedestrians,18442,18537.0
US-Mexico Border,11/01/2013 12:00:00 AM,Personal Vehicles,5537245,5222237.0
US-Mexico Border,11/01/2013 12:00:00 AM,Rail Containers Full,39368,12493.0
US-Mexico Border,11/01/2013 12:00:00 AM,Train Passengers,368,1000.0
US-Mexico Border,11/01/2013 12:00:00 AM,Rail Containers Empty,37235,12631.0
US-Mexico Border,11/01/2013 12:00:00 AM,Buses,16874,9474.0
US-Mexico Border,11/01/2013 12:00:00 AM,Truck Containers Full,296073,134187.0
US-Mexico Border,11/01/2013 12:00:00 AM,Trucks,428552,255176.0
US-Mexico Border,11/01/2013 12:00:00 AM,Bus Passengers,193986,137847.0
US-Mexico Border,11/01/2013 12:00:00 AM,Trains,826,644.0
US-Mexico Border,11/01/2013 12:00:00 AM,Personal Vehicle Passengers,10277332,14044657.0
US-Canada Border,10/01/2013 12:00:00 AM,Truck Containers Full,391138,177702.0
US-Canada Border,10/01/2013 12:00:00 AM,Trucks,514270,419175.0
US-Mexico Border,10/01/2013 12:00:00 AM,Pedestrians,3487688,3120322.0
US-Canada Border,10/01/2013 12:00:00 AM,Train Passengers,15550,12803.0
US-Canada Border,10/01/2013 12:00:00 AM,Buses,8818,8399.0
US-Canada Border,10/01/2013 12:00:00 AM,Personal Vehicle Passengers,4973878,6136398.0
US-Canada Border,10/01/2013 12:00:00 AM,Truck Containers Empty,118282,24091.0
US-Canada Border,10/01/2013 12:00:00 AM,Trains,2661,2440.0
US-Mexico Border,10/01/2013 12:00:00 AM,Personal Vehicles,5664079,5222237.0
US-Canada Border,10/01/2013 12:00:00 AM,Bus Passengers,208097,162064.0
US-Mexico Border,10/01/2013 12:00:00 AM,Bus Passengers,182523,137847.0
US-Canada Border,10/01/2013 12:00:00 AM,Rail Containers Empty,70104,9791.0
US-Canada Border,10/01/2013 12:00:00 AM,Rail Containers Full,140829,31860.0
US-Mexico Border,10/01/2013 12:00:00 AM,Train Passengers,361,1000.0
US-Canada Border,10/01/2013 12:00:00 AM,Personal Vehicles,2773546,2489564.0
US-Mexico Border,10/01/2013 12:00:00 AM,Trucks,469158,255176.0
US-Mexico Border,10/01/2013 12:00:00 AM,Truck Containers Full,294027,134187.0
US-Mexico Border,10/01/2013 12:00:00 AM,Rail Containers Empty,38397,12631.0
US-Mexico Border,10/01/2013 12:00:00 AM,Buses,16769,9474.0
US-Canada Border,10/01/2013 12:00:00 AM,Pedestrians,51919,18537.0
US-Mexico Border,10/01/2013 12:00:00 AM,Rail Containers Full,40147,12493.0
US-Mexico Border,10/01/2013 12:00:00 AM,Truck Containers Empty,128175,106850.0
US-Mexico Border,10/01/2013 12:00:00 AM,Trains,836,644.0
US-Mexico Border,10/01/2013 12:00:00 AM,Personal Vehicle Passengers,10130991,14044657.0
US-Canada Border,09/01/2013 12:00:00 AM,Train Passengers,29884,12803.0
US-Canada Border,09/01/2013 12:00:00 AM,Bus Passengers,230454,162064.0
US-Mexico Border,09/01/2013 12:00:00 AM,Buses,16168,9474.0
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,5109950,6136398.0
US-Canada Border,09/01/2013 12:00:00 AM,Buses,10574,8399.0
US-Canada Border,09/01/2013 12:00:00 AM,Pedestrians,43243,18537.0
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Empty,121839,24091.0
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Full,352489,177702.0
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Full,273471,134187.0
US-Canada Border,09/01/2013 12:00:00 AM,Trains,2461,2440.0
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicles,2841765,2489564.0
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Full,38311,12493.0
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Full,128150,31860.0
US-Mexico Border,09/01/2013 12:00:00 AM,Trucks,405484,255176.0
US-Canada Border,09/01/2013 12:00:00 AM,Trucks,477120,419175.0
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Empty,127800,106850.0
US-Mexico Border,09/01/2013 12:00:00 AM,Bus Passengers,177670,137847.0
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Empty,63775,9791.0
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicles,5389491,5222237.0
US-Mexico Border,09/01/2013 12:00:00 AM,Pedestrians,3196087,3120322.0
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,9778521,14044657.0
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Empty,32453,12631.0
US-Mexico Border,09/01/2013 12:00:00 AM,Trains,793,644.0
US-Mexico Border,09/01/2013 12:00:00 AM,Train Passengers,294,1000.0
US-Canada Border,08/01/2013 12:00:00 AM,Buses,12400,8399.0
US-Canada Border,08/01/2013 12:00:00 AM,Personal Vehicles,3741358,2489564.0
US-Mexico Border,08/01/2013 12:00:00 AM,Rail Containers Full,40457,12493.0
US-Canada Border,08/01/2013 12:00:00 AM,Bus Passengers,296286,162064.0
US-Mexico Border,08/01/2013 12:00:00 AM,Rail Containers Empty,33324,12631.0
US-Canada Border,08/01/2013 12:00:00 AM,Truck Containers Full,345371,177702.0
US-Mexico Border,08/01/2013 12:00:00 AM,Pedestrians,3491486,3120322.0
US-Mexico Border,08/01/2013 12:00:00 AM,Train Passengers,360,1000.0
US-Canada Border,08/01/2013 12:00:00 AM,Trucks,476948,419175.0
US-Canada Border,08/01/2013 12:00:00 AM,Rail Containers Empty,68120,9791.0
US-Mexico Border,08/01/2013 12:00:00 AM,Trucks,435400,255176.0
US-Canada Border,08/01/2013 12:00:00 AM,Train Passengers,42588,12803.0
US-Mexico Border,08/01/2013 12:00:00 AM,Trains,821,644.0
US-Mexico Border,08/01/2013 12:00:00 AM,Truck Containers Full,297249,134187.0
US-Canada Border,08/01/2013 12:00:00 AM,Rail Containers Full,129051,31860.0
US-Mexico Border,08/01/2013 12:00:00 AM,Bus Passengers,285426,137847.0
US-Canada Border,08/01/2013 12:00:00 AM,Personal Vehicle Passengers,7807992,6136398.0
US-Canada Border,08/01/2013 12:00:00 AM,Trains,2472,2440.0
US-Canada Border,08/01/2013 12:00:00 AM,Truck Containers Empty,116257,24091.0
US-Canada Border,08/01/2013 12:00:00 AM,Pedestrians,75318,18537.0
US-Mexico Border,08/01/2013 12:00:00 AM,Personal Vehicles,5971428,5222237.0
US-Mexico Border,08/01/2013 12:00:00 AM,Personal Vehicle Passengers,10684253,14044657.0
US-Mexico Border,08/01/2013 12:00:00 AM,Buses,18466,9474.0
US-Mexico Border,08/01/2013 12:00:00 AM,Truck Containers Empty,139714,106850.0
US-Canada Border,07/01/2013 12:00:00 AM,Rail Containers Full,121084,31860.0
US-Canada Border,07/01/2013 12:00:00 AM,Trucks,466391,419175.0
US-Mexico Border,07/01/2013 12:00:00 AM,Bus Passengers,328089,137847.0
US-Canada Border,07/01/2013 12:00:00 AM,Personal Vehicle Passengers,7060369,6136398.0
US-Canada Border,07/01/2013 12:00:00 AM,Bus Passengers,250825,162064.0
US-Mexico Border,07/01/2013 12:00:00 AM,Truck Containers Full,293326,134187.0
US-Canada Border,07/01/2013 12:00:00 AM,Trains,2397,2440.0
US-Canada Border,07/01/2013 12:00:00 AM,Pedestrians,68814,18537.0
US-Canada Border,07/01/2013 12:00:00 AM,Personal Vehicles,3517073,2489564.0
US-Mexico Border,07/01/2013 12:00:00 AM,Pedestrians,3362500,3120322.0
US-Canada Border,07/01/2013 12:00:00 AM,Train Passengers,46179,12803.0
US-Canada Border,07/01/2013 12:00:00 AM,Rail Containers Empty,64994,9791.0
US-Canada Border,07/01/2013 12:00:00 AM,Truck Containers Full,329106,177702.0
US-Canada Border,07/01/2013 12:00:00 AM,Truck Containers Empty,119240,24091.0
US-Canada Border,07/01/2013 12:00:00 AM,Buses,12139,8399.0
US-Mexico Border,07/01/2013 12:00:00 AM,Trains,784,644.0
US-Mexico Border,07/01/2013 12:00:00 AM,Buses,19832,9474.0
US-Mexico Border,07/01/2013 12:00:00 AM,Trucks,435699,255176.0
US-Mexico Border,07/01/2013 12:00:00 AM,Rail Containers Full,37972,12493.0
US-Mexico Border,07/01/2013 12:00:00 AM,Truck Containers Empty,137411,106850.0
US-Mexico Border,07/01/2013 12:00:00 AM,Train Passengers,357,1000.0
US-Mexico Border,07/01/2013 12:00:00 AM,Personal Vehicle Passengers,10942209,14044657.0
US-Mexico Border,07/01/2013 12:00:00 AM,Rail Containers Empty,31970,12631.0
US-Mexico Border,07/01/2013 12:00:00 AM,Personal Vehicles,5715252,5222237.0
US-Canada Border,06/01/2013 12:00:00 AM,Trains,2401,2440.0
US-Canada Border,06/01/2013 12:00:00 AM,Buses,11656,8399.0
US-Canada Border,06/01/2013 12:00:00 AM,Train Passengers,38573,12803.0
US-Canada Border,06/01/2013 12:00:00 AM,Personal Vehicles,3021572,2489564.0
US-Mexico Border,06/01/2013 12:00:00 AM,Truck Containers Full,283746,134187.0
US-Canada Border,06/01/2013 12:00:00 AM,Trucks,476738,419175.0
US-Mexico Border,06/01/2013 12:00:00 AM,Truck Containers Empty,117822,106850.0
US-Canada Border,06/01/2013 12:00:00 AM,Truck Containers Empty,120160,24091.0
US-Canada Border,06/01/2013 12:00:00 AM,Personal Vehicle Passengers,5691883,6136398.0
US-Canada Border,06/01/2013 12:00:00 AM,Truck Containers Full,332533,177702.0
US-Canada Border,06/01/2013 12:00:00 AM,Rail Containers Empty,64689,9791.0
US-Canada Border,06/01/2013 12:00:00 AM,Bus Passengers,241095,162064.0
US-Canada Border,06/01/2013 12:00:00 AM,Pedestrians,50744,18537.0
US-Mexico Border,06/01/2013 12:00:00 AM,Personal Vehicles,5450094,5222237.0
US-Mexico Border,06/01/2013 12:00:00 AM,Personal Vehicle Passengers,10083221,14044657.0
US-Canada Border,06/01/2013 12:00:00 AM,Rail Containers Full,123443,31860.0
US-Mexico Border,06/01/2013 12:00:00 AM,Trains,759,644.0
US-Mexico Border,06/01/2013 12:00:00 AM,Rail Containers Empty,30033,12631.0
US-Mexico Border,06/01/2013 12:00:00 AM,Train Passengers,352,1000.0
US-Mexico Border,06/01/2013 12:00:00 AM,Buses,17491,9474.0
US-Mexico Border,06/01/2013 12:00:00 AM,Bus Passengers,221979,137847.0
US-Mexico Border,06/01/2013 12:00:00 AM,Trucks,422524,255176.0
US-Mexico Border,06/01/2013 12:00:00 AM,Rail Containers Full,40135,12493.0
US-Mexico Border,06/01/2013 12:00:00 AM,Pedestrians,3137218,3120322.0
US-Canada Border,05/01/2013 12:00:00 AM,Trucks,495376,419175.0
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Empty,137914,106850.0
US-Canada Border,05/01/2013 12:00:00 AM,Buses,10706,8399.0
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicles,2860420,2489564.0
US-Canada Border,05/01/2013 12:00:00 AM,Bus Passengers,251514,162064.0
US-Mexico Border,05/01/2013 12:00:00 AM,Bus Passengers,228245,137847.0
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Empty,65924,9791.0
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Full,37009,12493.0
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Full,329269,134187.0
US-Canada Border,05/01/2013 12:00:00 AM,Train Passengers,27490,12803.0
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,10094092,14044657.0
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Full,126913,31860.0
US-Canada Border,05/01/2013 12:00:00 AM,Pedestrians,40091,18537.0
US-Mexico Border,05/01/2013 12:00:00 AM,Buses,17577,9474.0
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,5144359,6136398.0
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Full,348887,177702.0
US-Canada Border,05/01/2013 12:00:00 AM,Trains,2696,2440.0
US-Mexico Border,05/01/2013 12:00:00 AM,Trucks,462653,255176.0
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Empty,31148,12631.0
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Empty,123881,24091.0
US-Mexico Border,05/01/2013 12:00:00 AM,Trains,805,644.0
US-Mexico Border,05/01/2013 12:00:00 AM,Pedestrians,3336831,3120322.0
US-Mexico Border,05/01/2013 12:00:00 AM,Train Passengers,388,1000.0
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicles,5542514,5222237.0
US-Mexico Border,04/01/2013 12:00:00 AM,Bus Passengers,227568,137847.0
US-Canada Border,04/01/2013 12:00:00 AM,Buses,7435,8399.0
US-Mexico Border,04/01/2013 12:00:00 AM,Rail Containers Empty,32456,12631.0
US-Canada Border,04/01/2013 12:00:00 AM,Rail Containers Empty,61226,9791.0
US-Canada Border,04/01/2013 12:00:00 AM,Rail Containers Full,128428,31860.0
US-Mexico Border,04/01/2013 12:00:00 AM,Pedestrians,3351788,3120322.0
US-Canada Border,04/01/2013 12:00:00 AM,Pedestrians,27212,18537.0
US-Mexico Border,04/01/2013 12:00:00 AM,Trucks,470867,255176.0
US-Canada Border,04/01/2013 12:00:00 AM,Bus Passengers,204930,162064.0
US-Canada Border,04/01/2013 12:00:00 AM,Personal Vehicles,2441118,2489564.0
US-Canada Border,04/01/2013 12:00:00 AM,Truck Containers Full,357578,177702.0
US-Canada Border,04/01/2013 12:00:00 AM,Truck Containers Empty,118488,24091.0
US-Mexico Border,04/01/2013 12:00:00 AM,Rail Containers Full,33486,12493.0
US-Canada Border,04/01/2013 12:00:00 AM,Train Passengers,14097,12803.0
US-Canada Border,04/01/2013 12:00:00 AM,Trains,2525,2440.0
US-Mexico Border,04/01/2013 12:00:00 AM,Trains,754,644.0
US-Canada Border,04/01/2013 12:00:00 AM,Trucks,491163,419175.0
US-Canada Border,04/01/2013 12:00:00 AM,Personal Vehicle Passengers,4368031,6136398.0
US-Mexico Border,04/01/2013 12:00:00 AM,Personal Vehicle Passengers,9644776,14044657.0
US-Mexico Border,04/01/2013 12:00:00 AM,Buses,16775,9474.0
US-Mexico Border,04/01/2013 12:00:00 AM,Train Passengers,386,1000.0
US-Mexico Border,04/01/2013 12:00:00 AM,Truck Containers Empty,138458,106850.0
US-Mexico Border,04/01/2013 12:00:00 AM,Truck Containers Full,321503,134187.0
US-Mexico Border,04/01/2013 12:00:00 AM,Personal Vehicles,5414131,5222237.0
US-Canada Border,03/01/2013 12:00:00 AM,Bus Passengers,155080,162064.0
US-Canada Border,03/01/2013 12:00:00 AM,Rail Containers Full,132645,31860.0
US-Canada Border,03/01/2013 12:00:00 AM,Personal Vehicle Passengers,5043062,6136398.0
US-Canada Border,03/01/2013 12:00:00 AM,Buses,6914,8399.0
US-Canada Border,03/01/2013 12:00:00 AM,Trucks,469482,419175.0
US-Canada Border,03/01/2013 12:00:00 AM,Truck Containers Empty,113800,24091.0
US-Mexico Border,03/01/2013 12:00:00 AM,Personal Vehicle Passengers,10246838,14044657.0
US-Canada Border,03/01/2013 12:00:00 AM,Train Passengers,15517,12803.0
US-Canada Border,03/01/2013 12:00:00 AM,Personal Vehicles,2625752,2489564.0
US-Canada Border,03/01/2013 12:00:00 AM,Truck Containers Full,337565,177702.0
US-Mexico Border,03/01/2013 12:00:00 AM,Rail Containers Empty,32227,12631.0
US-Canada Border,03/01/2013 12:00:00 AM,Trains,2448,2440.0
US-Mexico Border,03/01/2013 12:00:00 AM,Pedestrians,3631710,3120322.0
US-Canada Border,03/01/2013 12:00:00 AM,Rail Containers Empty,66338,9791.0
US-Canada Border,03/01/2013 12:00:00 AM,Pedestrians,19713,18537.0
US-Mexico Border,03/01/2013 12:00:00 AM,Buses,17877,9474.0
US-Mexico Border,03/01/2013 12:00:00 AM,Train Passengers,387,1000.0
US-Mexico Border,03/01/2013 12:00:00 AM,Trucks,429118,255176.0
US-Mexico Border,03/01/2013 12:00:00 AM,Rail Containers Full,39194,12493.0
US-Mexico Border,03/01/2013 12:00:00 AM,Trains,771,644.0
US-Mexico Border,03/01/2013 12:00:00 AM,Truck Containers Empty,125227,106850.0
US-Mexico Border,03/01/2013 12:00:00 AM,Truck Containers Full,301659,134187.0
US-Mexico Border,03/01/2013 12:00:00 AM,Personal Vehicles,5545763,5222237.0
US-Mexico Border,03/01/2013 12:00:00 AM,Bus Passengers,280591,137847.0
US-Canada Border,02/01/2013 12:00:00 AM,Rail Containers Empty,54584,9791.0
US-Canada Border,02/01/2013 12:00:00 AM,Pedestrians,11124,18537.0
US-Canada Border,02/01/2013 12:00:00 AM,Buses,5814,8399.0
US-Canada Border,02/01/2013 12:00:00 AM,Bus Passengers,116814,162064.0
US-Mexico Border,02/01/2013 12:00:00 AM,Rail Containers Empty,29815,12631.0
US-Canada Border,02/01/2013 12:00:00 AM,Rail Containers Full,118728,31860.0
US-Canada Border,02/01/2013 12:00:00 AM,Truck Containers Full,315990,177702.0
US-Canada Border,02/01/2013 12:00:00 AM,Trucks,437245,419175.0
US-Canada Border,02/01/2013 12:00:00 AM,Personal Vehicle Passengers,3836360,6136398.0
US-Canada Border,02/01/2013 12:00:00 AM,Train Passengers,10598,12803.0
US-Canada Border,02/01/2013 12:00:00 AM,Personal Vehicles,2146613,2489564.0
US-Canada Border,02/01/2013 12:00:00 AM,Truck Containers Empty,110879,24091.0
US-Mexico Border,02/01/2013 12:00:00 AM,Personal Vehicles,4958117,5222237.0
US-Mexico Border,02/01/2013 12:00:00 AM,Trains,700,644.0
US-Mexico Border,02/01/2013 12:00:00 AM,Bus Passengers,188305,137847.0
US-Canada Border,02/01/2013 12:00:00 AM,Trains,2113,2440.0
US-Mexico Border,02/01/2013 12:00:00 AM,Trucks,408669,255176.0
US-Mexico Border,02/01/2013 12:00:00 AM,Pedestrians,3249782,3120322.0
US-Mexico Border,02/01/2013 12:00:00 AM,Truck Containers Empty,123374,106850.0
US-Mexico Border,02/01/2013 12:00:00 AM,Truck Containers Full,283766,134187.0
US-Mexico Border,02/01/2013 12:00:00 AM,Personal Vehicle Passengers,8767637,14044657.0
US-Mexico Border,02/01/2013 12:00:00 AM,Rail Containers Full,33885,12493.0
US-Mexico Border,02/01/2013 12:00:00 AM,Buses,15579,9474.0
US-Mexico Border,02/01/2013 12:00:00 AM,Train Passengers,324,1000.0
US-Canada Border,01/01/2013 12:00:00 AM,Pedestrians,13201,18537.0
US-Canada Border,01/01/2013 12:00:00 AM,Train Passengers,11562,12803.0
US-Canada Border,01/01/2013 12:00:00 AM,Personal Vehicles,2231300,2489564.0
US-Canada Border,01/01/2013 12:00:00 AM,Trains,2319,2440.0
US-Canada Border,01/01/2013 12:00:00 AM,Truck Containers Full,339226,177702.0
US-Canada Border,01/01/2013 12:00:00 AM,Bus Passengers,110459,162064.0
US-Mexico Border,01/01/2013 12:00:00 AM,Pedestrians,3362923,3120322.0
US-Canada Border,01/01/2013 12:00:00 AM,Buses,6016,8399.0
US-Canada Border,01/01/2013 12:00:00 AM,Trucks,468575,419175.0
US-Mexico Border,01/01/2013 12:00:00 AM,Truck Containers Full,291529,134187.0
US-Canada Border,01/01/2013 12:00:00 AM,Rail Containers Full,128609,31860.0
US-Mexico Border,01/01/2013 12:00:00 AM,Train Passengers,331,1000.0
US-Canada Border,01/01/2013 12:00:00 AM,Personal Vehicle Passengers,3906127,6136398.0
US-Canada Border,01/01/2013 12:00:00 AM,Truck Containers Empty,120508,24091.0
US-Mexico Border,01/01/2013 12:00:00 AM,Bus Passengers,254128,137847.0
US-Mexico Border,01/01/2013 12:00:00 AM,Trucks,428107,255176.0
US-Canada Border,01/01/2013 12:00:00 AM,Rail Containers Empty,55308,9791.0
US-Mexico Border,01/01/2013 12:00:00 AM,Rail Containers Empty,30884,12631.0
US-Mexico Border,01/01/2013 12:00:00 AM,Buses,17896,9474.0
US-Mexico Border,01/01/2013 12:00:00 AM,Rail Containers Full,29064,12493.0
US-Mexico Border,01/01/2013 12:00:00 AM,Personal Vehicle Passengers,9764596,14044657.0
US-Mexico Border,01/01/2013 12:00:00 AM,Truck Containers Empty,135411,106850.0
US-Mexico Border,01/01/2013 12:00:00 AM,Personal Vehicles,5359114,5222237.0
US-Mexico Border,01/01/2013 12:00:00 AM,Trains,713,644.0
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,55917,9791.0
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,390438,419175.0
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,150095,162064.0
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,30085,12631.0
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,97013,24091.0
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,19805,9474.0
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,287570,177702.0
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,5608850,5222237.0
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,12525,12803.0
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6354,8399.0
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,1000.0
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,119825,31860.0
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4847694,6136398.0
US-Canada Border,12/01/2012 12:00:00 AM,Trains,2272,2440.0
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,117512,106850.0
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,263620,137847.0
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,16812,18537.0
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,252068,134187.0
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,10971293,14044657.0
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,743,644.0
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2545279,2489564.0
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,3923442,3120322.0
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,370217,255176.0
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,32588,12493.0
US-Canada Border,11/01/2012 12:00:00 AM,Personal Vehicle Passengers,4637052,6136398.0
US-Canada Border,11/01/2012 12:00:00 AM,Trucks,471541,419175.0
US-Canada Border,11/01/2012 12:00:00 AM,Trains,2302,2440.0
US-Canada Border,11/01/2012 12:00:00 AM,Personal Vehicles,2539381,2489564.0
US-Canada Border,11/01/2012 12:00:00 AM,Bus Passengers,153491,162064.0
US-Canada Border,11/01/2012 12:00:00 AM,Buses,6266,8399.0
US-Mexico Border,11/01/2012 12:00:00 AM,Train Passengers,309,1000.0
US-Mexico Border,11/01/2012 12:00:00 AM,Rail Containers Empty,34006,12631.0
US-Canada Border,11/01/2012 12:00:00 AM,Train Passengers,11631,12803.0
US-Canada Border,11/01/2012 12:00:00 AM,Truck Containers Full,345745,177702.0
US-Canada Border,11/01/2012 12:00:00 AM,Truck Containers Empty,118182,24091.0
US-Mexico Border,11/01/2012 12:00:00 AM,Truck Containers Empty,136586,106850.0
US-Canada Border,11/01/2012 12:00:00 AM,Rail Containers Empty,57021,9791.0
US-Canada Border,11/01/2012 12:00:00 AM,Rail Containers Full,123160,31860.0
US-Mexico Border,11/01/2012 12:00:00 AM,Truck Containers Full,289178,134187.0
US-Mexico Border,11/01/2012 12:00:00 AM,Personal Vehicles,5295932,5222237.0
US-Mexico Border,11/01/2012 12:00:00 AM,Personal Vehicle Passengers,9662909,14044657.0
US-Canada Border,11/01/2012 12:00:00 AM,Pedestrians,18882,18537.0
US-Mexico Border,11/01/2012 12:00:00 AM,Rail Containers Full,34521,12493.0
US-Mexico Border,11/01/2012 12:00:00 AM,Bus Passengers,217071,137847.0
US-Mexico Border,11/01/2012 12:00:00 AM,Buses,17715,9474.0
US-Mexico Border,11/01/2012 12:00:00 AM,Trucks,427865,255176.0
US-Mexico Border,11/01/2012 12:00:00 AM,Trains,767,644.0
US-Mexico Border,11/01/2012 12:00:00 AM,Pedestrians,3560048,3120322.0
US-Canada Border,10/01/2012 12:00:00 AM,Pedestrians,40131,18537.0
US-Canada Border,10/01/2012 12:00:00 AM,Truck Containers Full,318994,177702.0
US-Canada Border,10/01/2012 12:00:00 AM,Personal Vehicle Passengers,4864389,6136398.0
US-Mexico Border,10/01/2012 12:00:00 AM,Personal Vehicles,5352562,5222237.0
US-Mexico Border,10/01/2012 12:00:00 AM,Pedestrians,3400483,3120322.0
US-Canada Border,10/01/2012 12:00:00 AM,Rail Containers Empty,63205,9791.0
US-Canada Border,10/01/2012 12:00:00 AM,Trains,2477,2440.0
US-Canada Border,10/01/2012 12:00:00 AM,Personal Vehicles,2719680,2489564.0
US-Canada Border,10/01/2012 12:00:00 AM,Truck Containers Empty,110149,24091.0
US-Canada Border,10/01/2012 12:00:00 AM,Rail Containers Full,127877,31860.0
US-Mexico Border,10/01/2012 12:00:00 AM,Rail Containers Empty,36325,12631.0
US-Canada Border,10/01/2012 12:00:00 AM,Trucks,502667,419175.0
US-Canada Border,10/01/2012 12:00:00 AM,Bus Passengers,201843,162064.0
US-Mexico Border,10/01/2012 12:00:00 AM,Buses,17353,9474.0
US-Mexico Border,10/01/2012 12:00:00 AM,Train Passengers,293,1000.0
US-Mexico Border,10/01/2012 12:00:00 AM,Personal Vehicle Passengers,9464353,14044657.0
US-Canada Border,10/01/2012 12:00:00 AM,Train Passengers,14967,12803.0
